GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab02,automatedtest,App,4,0,0,0,2,0,1,0,1,0
lab02,automatedtest,Calculator,0,41,0,4,0,10,0,8,0,6
